Regiao;UF;NomMunicipio;NomBairro;NomRevenda;NomEnderecoCompleto;DscProduto;202201;202202;202203;202204;202205;202206;202207
SE;RJ;SAO GONCALO;ALCÂNTARA;CATUCA POSTO E SERVIÇOS LTDA;RUA CAPITAO  JUVENAL FIGUEIREDO, NR: 500, COMPLEMENTO: NI - BAIRRO: ALCÂNTARA;ETANOL;6.098;5.874;5.879;6.38575;6.46725;5.99;4.865
SE;RJ;SAO GONCALO;ALCÂNTARA;CATUCA POSTO E SERVIÇOS LTDA;RUA CAPITAO  JUVENAL FIGUEIREDO, NR: 500, COMPLEMENTO: NI - BAIRRO: ALCÂNTARA;GASOLINA;7.131333333333333;7.024;7.398999999999999;7.7225;7.81725;7.69;5.815
SE;RJ;SAO GONCALO;ALCÂNTARA;CATUCA POSTO E SERVIÇOS LTDA;RUA CAPITAO  JUVENAL FIGUEIREDO, NR: 500, COMPLEMENTO: NI - BAIRRO: ALCÂNTARA;GASOLINA ADITIVADA;7.230333333333334;7.099;7.099;0.0;0.0;0.0;5.94
SE;RJ;SAO GONCALO;BOA VISTA;POSTO ABREU LTDA;RUA MAGALHAES BASTOS, NR: 3065, COMPLEMENTO: NI - BAIRRO: BOA VISTA;DIESEL;5.349;5.574;6.229;6.42;6.6899999999999995;6.894;7.59
SE;RJ;SAO GONCALO;BOA VISTA;POSTO ABREU LTDA;RUA MAGALHAES BASTOS, NR: 3065, COMPLEMENTO: NI - BAIRRO: BOA VISTA;DIESEL S10;5.399;5.629;6.279;6.61;6.99;7.19;7.69
SE;RJ;SAO GONCALO;BOA VISTA;POSTO ABREU LTDA;RUA MAGALHAES BASTOS, NR: 3065, COMPLEMENTO: NI - BAIRRO: BOA VISTA;ETANOL;6.399;6.0489999999999995;5.849;6.29;6.74;6.244;4.99
SE;RJ;SAO GONCALO;BOA VISTA;POSTO ABREU LTDA;RUA MAGALHAES BASTOS, NR: 3065, COMPLEMENTO: NI - BAIRRO: BOA VISTA;GASOLINA;7.199;7.149;7.399;7.79;7.84;7.79;6.09
SE;RJ;SAO GONCALO;BOA VISTA;POSTO ABREU LTDA;RUA MAGALHAES BASTOS, NR: 3065, COMPLEMENTO: NI - BAIRRO: BOA VISTA;GASOLINA ADITIVADA;7.299;7.2490000000000006;7.4990000000000006;7.89;7.9399999999999995;7.99;6.265000000000001
SE;RJ;SAO GONCALO;BOA VISTA;POSTO ABREU LTDA;RUA MAGALHAES BASTOS, NR: 3065, COMPLEMENTO: NI - BAIRRO: BOA VISTA;GNV;4.399;4.599;4.799;4.79;5.49;5.49;5.19
SE;RJ;SAO GONCALO;CAMARAO;SOPRO DIVINO POSTO DE COMBUSTIVEIS EIRELI;RUA FRANCISCO PORTELA, NR: 2609, COMPLEMENTO: LOJA - BAIRRO: CAMARAO;ETANOL;5.796;0.0;0.0;0.0;0.0;0.0;0.0
SE;RJ;SAO GONCALO;CAMARAO;SOPRO DIVINO POSTO DE COMBUSTIVEIS EIRELI;RUA FRANCISCO PORTELA, NR: 2609, COMPLEMENTO: LOJA - BAIRRO: CAMARAO;GASOLINA;6.999;0.0;0.0;0.0;0.0;0.0;0.0
SE;RJ;SAO GONCALO;CAMARAO;SOPRO DIVINO POSTO DE COMBUSTIVEIS EIRELI;RUA FRANCISCO PORTELA, NR: 2609, COMPLEMENTO: LOJA - BAIRRO: CAMARAO;GASOLINA ADITIVADA;7.396;0.0;0.0;0.0;0.0;0.0;0.0
SE;RJ;SAO GONCALO;CAMARÃO;POSTO DE COMBUSTÍVEIS PARADA 40 LTDA.;RUA DR. FRANCISCO PORTELA, NR: 2435, COMPLEMENTO: NI - BAIRRO: CAMARÃO;DIESEL;5.196;0.0;0.0;0.0;0.0;0.0;0.0
SE;RJ;SAO GONCALO;CAMARÃO;POSTO DE COMBUSTÍVEIS PARADA 40 LTDA.;RUA DR. FRANCISCO PORTELA, NR: 2435, COMPLEMENTO: NI - BAIRRO: CAMARÃO;ETANOL;5.699;0.0;0.0;0.0;0.0;0.0;0.0
SE;RJ;SAO GONCALO;CAMARÃO;POSTO DE COMBUSTÍVEIS PARADA 40 LTDA.;RUA DR. FRANCISCO PORTELA, NR: 2435, COMPLEMENTO: NI - BAIRRO: CAMARÃO;GASOLINA;6.899;0.0;0.0;0.0;0.0;0.0;0.0
SE;RJ;SAO GONCALO;CENTRO;AUTO POSTO GIRA DE SAO GONCALO LTDA;RUA DOUTOR NILO PECANHA, NR: 1093, COMPLEMENTO: NI - BAIRRO: CENTRO;DIESEL;5.1739999999999995;5.249;5.978999999999999;6.5245;6.575;6.7;7.0
SE;RJ;SAO GONCALO;CENTRO;AUTO POSTO GIRA DE SAO GONCALO LTDA;RUA DOUTOR NILO PECANHA, NR: 1093, COMPLEMENTO: NI - BAIRRO: CENTRO;ETANOL;5.749;5.499;5.099;5.6445;5.890000000000001;5.593999999999999;4.74
SE;RJ;SAO GONCALO;CENTRO;AUTO POSTO GIRA DE SAO GONCALO LTDA;RUA DOUTOR NILO PECANHA, NR: 1093, COMPLEMENTO: NI - BAIRRO: CENTRO;GASOLINA;6.899;6.849;7.079;7.5495;7.49;7.39;5.79
SE;RJ;SAO GONCALO;COELHO;RODRIGUES - POSTO E SERVICOS LTDA;RUA CAP. JUVENAL FIGUEIREDO, NR: SN, COMPLEMENTO: NI - BAIRRO: COELHO;DIESEL;5.674;5.799;6.5489999999999995;6.849;7.19;7.59;7.69
SE;RJ;SAO GONCALO;COELHO;RODRIGUES - POSTO E SERVICOS LTDA;RUA CAP. JUVENAL FIGUEIREDO, NR: SN, COMPLEMENTO: NI - BAIRRO: COELHO;DIESEL S10;5.724;5.849;6.599;6.899;7.29;7.69;7.79
