Regiao;UF;NomMunicipio;NomBairro;NomRevenda;NomEnderecoCompleto;DscProduto;202201;202202;202203;202204;202205;202206;202207
SE;SP;BARUERI;ALPHAVILLE;POSTO DE SERVICOS DUQUE ALPHAVILLE LTDA;ALAMEDA RIO NEGRO, NR: 600, COMPLEMENTO: NI - BAIRRO: ALPHAVILLE;GASOLINA;7.299;7.299;7.7490000000000006;8.199;7.69;6.99;6.6899999999999995
SE;SP;BARUERI;ALPHAVILLE;POSTO DE SERVICOS DUQUE ALPHAVILLE LTDA;ALAMEDA RIO NEGRO, NR: 600, COMPLEMENTO: NI - BAIRRO: ALPHAVILLE;GASOLINA ADITIVADA;8.299;8.299;7.849;8.399;7.9399999999999995;7.29;6.99
SE;SP;BARUERI;ALPHAVILLE;POSTO DE SERVICOS DUQUE ALPHAVILLE LTDA;ALAMEDA RIO NEGRO, NR: 600, COMPLEMENTO: NI - BAIRRO: ALPHAVILLE;GNV;4.699;4.699;5.299;0.0;5.29;5.99;5.99
SE;SP;BARUERI;ALPHAVILLE;RALPHA POSTO LTDA;ALAMEDA ARAGUAIA, NR: 941, COMPLEMENTO: NI - BAIRRO: ALPHAVILLE;DIESEL S10;5.699;5.699;6.449;0.0;7.1;0.0;7.7
SE;SP;BARUERI;ALPHAVILLE;RALPHA POSTO LTDA;ALAMEDA ARAGUAIA, NR: 941, COMPLEMENTO: NI - BAIRRO: ALPHAVILLE;ETANOL;4.799;4.4990000000000006;4.599;0.0;4.89;0.0;3.9499999999999997
SE;SP;BARUERI;ALPHAVILLE;RALPHA POSTO LTDA;ALAMEDA ARAGUAIA, NR: 941, COMPLEMENTO: NI - BAIRRO: ALPHAVILLE;GASOLINA;6.299;6.299;6.4990000000000006;0.0;6.79;0.0;5.85
SE;SP;BARUERI;ALPHAVILLE;RALPHA POSTO LTDA;ALAMEDA ARAGUAIA, NR: 941, COMPLEMENTO: NI - BAIRRO: ALPHAVILLE;GASOLINA ADITIVADA;6.499;6.499;6.699;0.0;6.99;0.0;6.045
SE;SP;BARUERI;ALPHAVILLE;RIO NEGRO DERIVADOS DE PETROLEO LTDA;ALAMEDA RIO NEGRO, NR: 229, COMPLEMENTO: NI - BAIRRO: ALPHAVILLE;DIESEL S10;5.899;5.999;6.649;7.199;7.295;0.0;8.0
SE;SP;BARUERI;ALPHAVILLE;RIO NEGRO DERIVADOS DE PETROLEO LTDA;ALAMEDA RIO NEGRO, NR: 229, COMPLEMENTO: NI - BAIRRO: ALPHAVILLE;ETANOL;4.899;4.649;4.599;5.299;4.99;0.0;3.945
SE;SP;BARUERI;ALPHAVILLE;RIO NEGRO DERIVADOS DE PETROLEO LTDA;ALAMEDA RIO NEGRO, NR: 229, COMPLEMENTO: NI - BAIRRO: ALPHAVILLE;GASOLINA;6.499;6.499;6.749;6.999;7.04;0.0;5.895
SE;SP;BARUERI;ALPHAVILLE;RIO NEGRO DERIVADOS DE PETROLEO LTDA;ALAMEDA RIO NEGRO, NR: 229, COMPLEMENTO: NI - BAIRRO: ALPHAVILLE;GASOLINA ADITIVADA;6.699;6.699;6.949;7.199;7.24;0.0;6.195
SE;SP;BARUERI;ALPHAVILLE;SUPER POSTO FORTALEZA LTDA;ESTRADA DA ALDEINHA, NR: 438, COMPLEMENTO: NI - BAIRRO: ALPHAVILLE;DIESEL S10;0.0;6.199;0.0;0.0;6.99;0.0;7.49
SE;SP;BARUERI;ALPHAVILLE;SUPER POSTO FORTALEZA LTDA;ESTRADA DA ALDEINHA, NR: 438, COMPLEMENTO: NI - BAIRRO: ALPHAVILLE;ETANOL;0.0;4.399;0.0;0.0;4.79;0.0;3.89
SE;SP;BARUERI;ALPHAVILLE;SUPER POSTO FORTALEZA LTDA;ESTRADA DA ALDEINHA, NR: 438, COMPLEMENTO: NI - BAIRRO: ALPHAVILLE;GASOLINA;0.0;6.499;0.0;0.0;6.99;0.0;5.99
SE;SP;BARUERI;ALPHAVILLE;SUPER POSTO FORTALEZA LTDA;ESTRADA DA ALDEINHA, NR: 438, COMPLEMENTO: NI - BAIRRO: ALPHAVILLE;GASOLINA ADITIVADA;0.0;6.999;0.0;0.0;7.19;0.0;6.29
SE;SP;BARUERI;ALPHAVILLE CONDE I;AUTO POSTO DUQUE CONDE ALPHAVILLE LTDA;AVENIDA SAGITARIO, NR: 607, COMPLEMENTO: NI - BAIRRO: ALPHAVILLE CONDE I;DIESEL S10;6.399;6.399;6.829;0.0;7.59;0.0;7.99
SE;SP;BARUERI;ALPHAVILLE CONDE I;AUTO POSTO DUQUE CONDE ALPHAVILLE LTDA;AVENIDA SAGITARIO, NR: 607, COMPLEMENTO: NI - BAIRRO: ALPHAVILLE CONDE I;ETANOL;5.399;5.399;5.649;0.0;5.99;0.0;4.49
SE;SP;BARUERI;ALPHAVILLE CONDE I;AUTO POSTO DUQUE CONDE ALPHAVILLE LTDA;AVENIDA SAGITARIO, NR: 607, COMPLEMENTO: NI - BAIRRO: ALPHAVILLE CONDE I;GASOLINA;7.599;7.599;7.999;0.0;8.59;0.0;7.49
SE;SP;BARUERI;ALPHAVILLE CONDE I;AUTO POSTO DUQUE CONDE ALPHAVILLE LTDA;AVENIDA SAGITARIO, NR: 607, COMPLEMENTO: NI - BAIRRO: ALPHAVILLE CONDE I;GASOLINA ADITIVADA;8.599;8.699;8.899000000000001;0.0;8.99;0.0;7.99
SE;SP;BARUERI;ALPHAVILLE INDUSTRIAL;POSTO PALACE ARAGUAIA LTDA;ALAMEDA ARAGUAIA, NR: 300, COMPLEMENTO: NI - BAIRRO: ALPHAVILLE INDUSTRIAL;DIESEL S10;5.629;5.629;6.079000000000001;6.779;6.88;6.99;7.69
SE;SP;BARUERI;ALPHAVILLE INDUSTRIAL;POSTO PALACE ARAGUAIA LTDA;ALAMEDA ARAGUAIA, NR: 300, COMPLEMENTO: NI - BAIRRO: ALPHAVILLE INDUSTRIAL;ETANOL;4.779;4.519;4.539;5.279;5.08;4.39;3.89
SE;SP;BARUERI;ALPHAVILLE INDUSTRIAL;POSTO PALACE ARAGUAIA LTDA;ALAMEDA ARAGUAIA, NR: 300, COMPLEMENTO: NI - BAIRRO: ALPHAVILLE INDUSTRIAL;GASOLINA;6.279;6.229;6.429;6.779;6.77;6.67;5.73
SE;SP;BARUERI;ALPHAVILLE INDUSTRIAL;POSTO PALACE ARAGUAIA LTDA;ALAMEDA ARAGUAIA, NR: 300, COMPLEMENTO: NI - BAIRRO: ALPHAVILLE INDUSTRIAL;GASOLINA ADITIVADA;6.279;6.229;6.429;6.779;6.77;6.67;5.73
SE;SP;BARUERI;BARUERI;COMLUBRI AUTO POSTO LTDA.;ALAMEDA ARAGUACEMA, NR: 24, COMPLEMENTO: CENTRO EMPRES.TAMBORE - BAIRRO: BARUERI;DIESEL S10;5.499;5.649;6.2490000000000006;6.89;7.09;7.29;7.89
SE;SP;BARUERI;BARUERI;COMLUBRI AUTO POSTO LTDA.;ALAMEDA ARAGUACEMA, NR: 24, COMPLEMENTO: CENTRO EMPRES.TAMBORE - BAIRRO: BARUERI;ETANOL;5.399;4.888999999999999;4.849;5.79;5.59;4.99;4.44
SE;SP;BARUERI;BARUERI;COMLUBRI AUTO POSTO LTDA.;ALAMEDA ARAGUACEMA, NR: 24, COMPLEMENTO: CENTRO EMPRES.TAMBORE - BAIRRO: BARUERI;GASOLINA;6.699;6.699;6.849;7.29;7.29;7.29;6.140000000000001
SE;SP;BARUERI;BARUERI;COMLUBRI AUTO POSTO LTDA.;ALAMEDA ARAGUACEMA, NR: 24, COMPLEMENTO: CENTRO EMPRES.TAMBORE - BAIRRO: BARUERI;GASOLINA ADITIVADA;6.699;6.899;7.0489999999999995;7.49;7.49;7.49;6.34
SE;SP;BARUERI;BETHAVILLE;BETHAVILLE AUTO POSTO LTDA.;AVENIDA MARGINAL PROJETADA, NR: 755, COMPLEMENTO: NI - BAIRRO: BETHAVILLE;DIESEL S10;5.699;5.849;6.3389999999999995;6.785666666666667;7.059666666666668;7.390000000000001;7.989999999999999
SE;SP;BARUERI;BETHAVILLE;BETHAVILLE AUTO POSTO LTDA.;AVENIDA MARGINAL PROJETADA, NR: 755, COMPLEMENTO: NI - BAIRRO: BETHAVILLE;ETANOL;4.899;4.7490000000000006;4.899;5.4656666666666665;5.259666666666667;4.915;4.29
SE;SP;BARUERI;BETHAVILLE;BETHAVILLE AUTO POSTO LTDA.;AVENIDA MARGINAL PROJETADA, NR: 755, COMPLEMENTO: NI - BAIRRO: BETHAVILLE;GASOLINA;6.2490000000000006;6.299;6.765666666666667;7.1323333333333325;7.1930000000000005;7.140000000000001;6.79
SE;SP;BARUERI;BETHAVILLE;BETHAVILLE AUTO POSTO LTDA.;AVENIDA MARGINAL PROJETADA, NR: 755, COMPLEMENTO: NI - BAIRRO: BETHAVILLE;GASOLINA ADITIVADA;0.0;0.0;0.0;0.0;7.19;0.0;6.79
SE;SP;BARUERI;BETHAVILLE I;BETHA SERVICOS AUTOMOTIVOS LTDA.;AVENIDA ANAPOLIS, NR: 204, COMPLEMENTO: NI - BAIRRO: BETHAVILLE I;DIESEL;0.0;0.0;0.0;0.0;0.0;6.79;7.39
SE;SP;BARUERI;BETHAVILLE I;BETHA SERVICOS AUTOMOTIVOS LTDA.;AVENIDA ANAPOLIS, NR: 204, COMPLEMENTO: NI - BAIRRO: BETHAVILLE I;DIESEL S10;5.438000000000001;5.588;6.065666666666668;6.499;6.89;7.015;7.49
SE;SP;BARUERI;BETHAVILLE I;BETHA SERVICOS AUTOMOTIVOS LTDA.;AVENIDA ANAPOLIS, NR: 204, COMPLEMENTO: NI - BAIRRO: BETHAVILLE I;ETANOL;5.199;4.999;4.932333333333333;5.429333333333333;5.256666666666667;5.09;4.59
SE;SP;BARUERI;BETHAVILLE I;BETHA SERVICOS AUTOMOTIVOS LTDA.;AVENIDA ANAPOLIS, NR: 204, COMPLEMENTO: NI - BAIRRO: BETHAVILLE I;GASOLINA;6.649;6.699;7.165666666666667;7.532333333333334;7.59;7.69;6.99
SE;SP;BARUERI;BETHAVILLE I;BETHA SERVICOS AUTOMOTIVOS LTDA.;AVENIDA ANAPOLIS, NR: 204, COMPLEMENTO: NI - BAIRRO: BETHAVILLE I;GASOLINA ADITIVADA;7.0489999999999995;7.0489999999999995;7.399;7.699000000000001;7.79;7.89;7.29
SE;SP;BARUERI;CENTRO;AUTO POSTO DUQUE BARUERI LTDA.;RUA CAMPOS SALES, NR: 934, COMPLEMENTO: NI - BAIRRO: CENTRO;DIESEL S10;5.499;5.499;6.369;6.449;6.89;7.14;7.07
SE;SP;BARUERI;CENTRO;AUTO POSTO DUQUE BARUERI LTDA.;RUA CAMPOS SALES, NR: 934, COMPLEMENTO: NI - BAIRRO: CENTRO;ETANOL;5.199;4.999;4.999;5.349;5.39;5.19;4.59
SE;SP;BARUERI;CENTRO;AUTO POSTO DUQUE BARUERI LTDA.;RUA CAMPOS SALES, NR: 934, COMPLEMENTO: NI - BAIRRO: CENTRO;GASOLINA;6.699;6.699;7.399;7.599;7.69;7.84;6.99
SE;SP;BARUERI;CENTRO;AUTO POSTO DUQUE BARUERI LTDA.;RUA CAMPOS SALES, NR: 934, COMPLEMENTO: NI - BAIRRO: CENTRO;GASOLINA ADITIVADA;7.399;7.399;7.599;7.7490000000000006;7.89;8.04;7.29
SE;SP;BARUERI;CENTRO;AUTO POSTO DUQUE BARUERI LTDA.;RUA CAMPOS SALES, NR: 934, COMPLEMENTO: NI - BAIRRO: CENTRO;GNV;4.699;4.699;0.0;5.299;5.29;5.99;0.0
SE;SP;BARUERI;CENTRO;AUTO POSTO LEAO DA ALDEIA LTDA;AVENIDA HENRIQUETA MENDES GUERRA, NR: 406, COMPLEMENTO: NI - BAIRRO: CENTRO;ETANOL;4.799;4.5489999999999995;4.665666666666667;4.899;4.640000000000001;4.135;3.73
SE;SP;BARUERI;CENTRO;AUTO POSTO LEAO DA ALDEIA LTDA;AVENIDA HENRIQUETA MENDES GUERRA, NR: 406, COMPLEMENTO: NI - BAIRRO: CENTRO;GASOLINA;6.099;6.199;6.665666666666667;6.649;6.49;6.465;5.48
SE;SP;BARUERI;CENTRO;AUTO POSTO VILA VERDE LTDA;AVENIDA VINTE E SEIS DE MARCO, NR: 697, COMPLEMENTO: NI - BAIRRO: CENTRO;DIESEL S10;0.0;0.0;0.0;6.799;6.926333333333333;7.24;7.59
SE;SP;BARUERI;CENTRO;AUTO POSTO VILA VERDE LTDA;AVENIDA VINTE E SEIS DE MARCO, NR: 697, COMPLEMENTO: NI - BAIRRO: CENTRO;ETANOL;0.0;0.0;0.0;5.249;5.226333333333334;4.615;3.99
SE;SP;BARUERI;CENTRO;AUTO POSTO VILA VERDE LTDA;AVENIDA VINTE E SEIS DE MARCO, NR: 697, COMPLEMENTO: NI - BAIRRO: CENTRO;GASOLINA;0.0;0.0;0.0;6.999;6.992999999999999;6.99;5.89
SE;SP;BARUERI;CENTRO;AUTO POSTO VILA VERDE LTDA;AVENIDA VINTE E SEIS DE MARCO, NR: 697, COMPLEMENTO: NI - BAIRRO: CENTRO;GASOLINA ADITIVADA;0.0;0.0;0.0;7.2490000000000006;7.293;7.29;6.19
SE;SP;BARUERI;CENTRO;PONTO COM POSTO DE ABASTECIMENTO E SERVICOS LTDA;AVENIDA MUNICIPAL, NR: 171, COMPLEMENTO: NI - BAIRRO: CENTRO;DIESEL S10;5.599;5.699;5.699;6.799;6.99;7.3566666666666665;0.0
SE;SP;BARUERI;CENTRO;PONTO COM POSTO DE ABASTECIMENTO E SERVICOS LTDA;AVENIDA MUNICIPAL, NR: 171, COMPLEMENTO: NI - BAIRRO: CENTRO;ETANOL;4.7490000000000006;4.399;4.399;5.199;4.99;4.69;4.29
SE;SP;BARUERI;CENTRO;PONTO COM POSTO DE ABASTECIMENTO E SERVICOS LTDA;AVENIDA MUNICIPAL, NR: 171, COMPLEMENTO: NI - BAIRRO: CENTRO;GASOLINA;6.2490000000000006;6.299;6.199;6.999;6.99;6.989999999999999;5.956666666666667
SE;SP;BARUERI;CENTRO;PONTO COM POSTO DE ABASTECIMENTO E SERVICOS LTDA;AVENIDA MUNICIPAL, NR: 171, COMPLEMENTO: NI - BAIRRO: CENTRO;GASOLINA ADITIVADA;6.5489999999999995;6.599;6.499;7.299;7.29;7.29;6.256666666666667
SE;SP;BARUERI;CENTRO;POSTO DE SERVICOS VISTA ALEGRE LTDA;RUA CAMPOS SALES, NR: 1385, COMPLEMENTO: ANTIGO 1287 - BAIRRO: CENTRO;DIESEL S10;5.659;5.659;6.459;6.478999999999999;6.99;7.390000000000001;7.59
SE;SP;BARUERI;CENTRO;POSTO DE SERVICOS VISTA ALEGRE LTDA;RUA CAMPOS SALES, NR: 1385, COMPLEMENTO: ANTIGO 1287 - BAIRRO: CENTRO;ETANOL;4.899;4.699;4.899;5.249;5.29;4.890000000000001;4.39
SE;SP;BARUERI;CENTRO;POSTO DE SERVICOS VISTA ALEGRE LTDA;RUA CAMPOS SALES, NR: 1385, COMPLEMENTO: ANTIGO 1287 - BAIRRO: CENTRO;GASOLINA;6.399;6.399;6.999;7.0489999999999995;7.09;7.140000000000001;6.09
