Empresa;CodClasseImobilizado;CodImobilizadoImobilizado;CodSBN;DescricaoImobilizado;CodigoDenominacaoImobilizado;CodClienteRecebMercadoria;LocalInstalacao;TextoImobilizado;DtIncorporacao;Qtd;UnidadeMedida0;UnidadeMedida1;QtdRetroativa;UnidadeMedida2;NumeroInventario;NumeroSerieChassi;CentroCusto;NomCetro;CodigoCentro;CodigoEspecie;DescricaoEspecie;OrdemInvestimento;ElementoPEP;DtDesativacao;ImobilizadoOrigem;SubNumeroIEA;ValorArquisicaoAtual;CodigoMoeda;ValorDepreciacaoAtual;CodigoMoeda1;ValorContabilAtual;CodigoMoeda2
1001;2300;230000000737;0;VASILHAMES P20 PIT STOP;001-132211-127452-0;0000000000;;VASILHAMES P20 PIT STOP;31.10.2008;6,000;UN;UN;0,000;UN;;;1021228;1021;Adm Central MD;1100;BOTIJÃO P20 - KIT PIT STOP;;;00.00.0000;;;4.084,99;BRL;2.547,63-;BRL;1.537,36;BRL
1001;2300;230000000739;0;VASILHAMES P20;001-132211-127488-0;0000000000;;VASILHAMES P20;21.05.2010;134,000;UN;UN;0,000;UN;;;1021130;1021;Adm Central MD;1020;BOTIJÃO P20;;;00.00.0000;;;46.588,87;BRL;37.459,93-;BRL;9.128,94;BRL
1001;2300;230000000792;0;VASILHAMES P20 PIT STOP;001-132211-128041-0;0000000000;;VASILHAMES P20 PIT STOP;22.11.2007;30,000;UN;UN;0,000;UN;;;1021228;1021;Adm Central MD;1100;BOTIJÃO P20 - KIT PIT STOP;;;00.00.0000;;;19.530,28;BRL;19.289,70-;BRL;240,58;BRL
1001;2300;230000000795;0;VASILHAMES P20;001-132211-128255-0;0000000000;;VASILHAMES P20;04.01.2008;17,000;UN;UN;0,000;UN;;;1021130;1021;Adm Central MD;1020;BOTIJÃO P20;;;00.00.0000;;;6.925,95;BRL;6.797,53-;BRL;128,42;BRL
1001;2300;230000000811;0;VASILHAMES P20 PIT STOP;001-132211-128688-0;0000000000;;VASILHAMES P20 PIT STOP;13.11.2007;60,000;UN;UN;0,000;UN;;;1021228;1021;Adm Central MD;1100;BOTIJÃO P20 - KIT PIT STOP;;;00.00.0000;;;38.532,00;BRL;27.558,57-;BRL;10.973,43;BRL
1001;2300;230000000812;0;VASILHAMES P20 PIT STOP;001-132211-129010-0;0000000000;;VASILHAMES P20 PIT STOP;04.11.2007;20,000;UN;UN;0,000;UN;;;1021228;1021;Adm Central MD;1100;BOTIJÃO P20 - KIT PIT STOP;;;00.00.0000;;;13.158,00;BRL;9.470,38-;BRL;3.687,62;BRL
1001;2300;230000000840;0;VASILHAMES P20;001-132211-129889-0;0000000000;;VASILHAMES P20;20.12.2007;170,000;UN;UN;0,000;UN;;;1021130;1021;Adm Central MD;1020;BOTIJÃO P20;;;00.00.0000;;;72.661,65;BRL;71.321,83-;BRL;1.339,82;BRL
1001;2300;230000000843;0;VASILHAMES P20;001-132211-130192-0;0000000000;;VASILHAMES P20;30.12.2009;43,000;UN;UN;0,000;UN;;;1021130;1021;Adm Central MD;1020;BOTIJÃO P20;;;00.00.0000;;;10.927,03;BRL;9.147,85-;BRL;1.779,18;BRL
1001;2300;230000000856;0;VASILHAMES P20;001-132211-130902-0;0000000000;;VASILHAMES P20;29.01.2008;100,000;UN;UN;0,000;UN;;;1021130;1021;Adm Central MD;1020;BOTIJÃO P20;;;00.00.0000;;;71.415,30;BRL;69.793,23-;BRL;1.622,07;BRL
1001;2300;230000000885;0;VASILHAMES P8;001-132211-131096-0;0000000000;;VASILHAMES P8;18.01.2008;5,000;UN;UN;0,000;UN;;;1021130;1021;Adm Central MD;1008;BOTIJÃO P08;;;00.00.0000;;;304,81;BRL;297,34-;BRL;7,47;BRL
1001;2300;230000000960;0;VASILHAMES P20;001-132211-132095-0;0000000000;;VASILHAMES P20;14.05.2008;20,000;UN;UN;0,000;UN;;;1021130;1021;Adm Central MD;1020;BOTIJÃO P20;;;00.00.0000;;;3.400,00;BRL;3.215,52-;BRL;184,48;BRL
1001;2300;230000001046;0;VASILHAMES P20;001-132211-137364-0;0000000000;;VASILHAMES P20;09.07.2008;41,000;UN;UN;0,000;UN;;;1021130;1021;Adm Central MD;1020;BOTIJÃO P20;;;00.00.0000;;;26.075,78;BRL;24.352,47-;BRL;1.723,31;BRL
1001;2300;230000001092;0;VASILHAMES P20;001-132211-140869-1;0000000000;;VASILHAMES P20;31.12.2007;18,000;UN;UN;0,000;UN;;;1021130;1021;Adm Central MD;1020;BOTIJÃO P20;;;00.00.0000;;;9.623,86;BRL;8.868,11-;BRL;755,75;BRL
1001;2300;230000001096;0;VASILHAMES P20;001-132211-141603-1;0000000000;;VASILHAMES P20;29.09.2008;7,000;UN;UN;0,000;UN;;;1021130;1021;Adm Central MD;1020;BOTIJÃO P20;;;00.00.0000;;;1.476,75;BRL;696,90-;BRL;779,85;BRL
1001;2300;230000001097;0;VASILHAMES P20;001-132211-141613-1;0000000000;;VASILHAMES P20;31.12.2007;93,000;UN;UN;0,000;UN;;;1021130;1021;Adm Central MD;1020;BOTIJÃO P20;;;00.00.0000;;;50.168,17;BRL;46.232,45-;BRL;3.935,72;BRL
1001;2300;230000001103;0;VASILHAMES P20;001-132211-142258-0;0000000000;;VASILHAMES P20;07.09.2008;64,000;UN;UN;0,000;UN;;;1021130;1021;Adm Central MD;1020;BOTIJÃO P20;;;00.00.0000;;;11.520,00;BRL;10.622,00-;BRL;898,00;BRL
1001;2300;230000001123;0;VASILHAMES P20;001-132211-143552-0;0000000000;;VASILHAMES P20;30.12.2008;12,000;UN;UN;0,000;UN;;;1021130;1021;Adm Central MD;1020;BOTIJÃO P20;;;00.00.0000;;;2.160,00;BRL;1.962,63-;BRL;197,37;BRL
1001;2300;230000001125;0;VASILHAMES P20 PIT STOP;001-132211-143652-0;0000000000;;VASILHAMES P20 PIT STOP;30.10.2008;60,000;UN;UN;0,000;UN;;;1021228;1021;Adm Central MD;1100;BOTIJÃO P20 - KIT PIT STOP;;;00.00.0000;;;43.048,54;BRL;27.103,16-;BRL;15.945,38;BRL
1001;2300;230000001126;0;VASILHAMES P20;001-132211-144786-0;0000000000;;VASILHAMES P20;03.02.2009;47,000;UN;UN;0,000;UN;;;1021130;1021;Adm Central MD;1020;BOTIJÃO P20;;;00.00.0000;;;25.081,49;BRL;22.267,20-;BRL;2.814,29;BRL
1001;2300;230000001128;0;VASILHAMES P20;001-132211-144787-0;0000000000;;VASILHAMES P20;05.02.2009;109,000;UN;UN;0,000;UN;;;1021130;1021;Adm Central MD;1020;BOTIJÃO P20;;;00.00.0000;;;56.139,21;BRL;49.836,03-;BRL;6.303,18;BRL
1001;2300;230000001130;0;VASILHAMES P20;001-132211-145480-0;0000000000;;VASILHAMES P20;09.02.2009;100,000;UN;UN;0,000;UN;;;1021130;1021;Adm Central MD;1020;BOTIJÃO P20;;;00.00.0000;;;53.072,46;BRL;47.621,02-;BRL;5.451,44;BRL
1001;2300;230000001133;0;VASILHAMES P20;001-132211-145613-0;0000000000;;VASILHAMES P20;04.02.2009;255,000;UN;UN;0,000;UN;;;1021130;1021;Adm Central MD;1020;BOTIJÃO P20;;;00.00.0000;;;134.190,98;BRL;119.129,10-;BRL;15.061,88;BRL
1001;2300;230000001198;0;VASILHAMES P20;001-132211-147691-0;0000000000;;VASILHAMES P20;03.01.2010;38,000;UN;UN;0,000;UN;;;1021130;1021;Adm Central MD;1020;BOTIJÃO P20;;;00.00.0000;;;13.840,90;BRL;11.403,99-;BRL;2.436,91;BRL
1001;2300;230000001199;0;VASILHAMES P20;001-132211-147716-0;0000000000;;VASILHAMES P20;24.02.2010;129,000;UN;UN;0,000;UN;;;1021130;1021;Adm Central MD;1020;BOTIJÃO P20;;;00.00.0000;;;50.490,85;BRL;41.685,96-;BRL;8.804,89;BRL
1001;2300;230000001230;0;VASILHAMES P20;001-132211-148785-0;0000000000;;VASILHAMES P20;30.12.2009;200,000;UN;UN;0,000;UN;;;1021130;1021;Adm Central MD;1020;BOTIJÃO P20;;;00.00.0000;;;72.846,84;BRL;60.985,71-;BRL;11.861,13;BRL
1001;2300;230000001242;0;VASILHAMES P20;001-132211-149459-0;0000000000;;VASILHAMES P20;04.12.2009;27,000;UN;UN;0,000;UN;;;1021130;1021;Adm Central MD;1020;BOTIJÃO P20;;;00.00.0000;;;9.834,32;BRL;8.159,51-;BRL;1.674,81;BRL
1001;2300;230000001327;0;VASILHAMES P20 PIT STOP;001-132211-150462-0;0000000000;;VASILHAMES P20 PIT STOP;29.09.2009;30,000;UN;UN;0,000;UN;;;1021228;1021;Adm Central MD;1100;BOTIJÃO P20 - KIT PIT STOP;;;00.00.0000;;;16.391,61;BRL;8.656,16-;BRL;7.735,45;BRL
1001;2300;230000001328;0;VASILHAMES P20;001-132211-150823-0;0000000000;;VASILHAMES P20;16.04.2010;153,000;UN;UN;0,000;UN;;;1021130;1021;Adm Central MD;1020;BOTIJÃO P20;;;00.00.0000;;;55.727,83;BRL;45.146,53-;BRL;10.581,30;BRL
1001;2300;230000001338;0;VASILHAMES P20;001-132211-151544-0;0000000000;;VASILHAMES P20;03.01.2010;39,000;UN;UN;0,000;UN;;;1021130;1021;Adm Central MD;1020;BOTIJÃO P20;;;00.00.0000;;;15.035,34;BRL;12.388,13-;BRL;2.647,21;BRL
1001;2300;230000001339;0;VASILHAMES P20;001-132211-151560-0;0000000000;;VASILHAMES P20;31.03.2010;260,000;UN;UN;0,000;UN;;;1021130;1021;Adm Central MD;1020;BOTIJÃO P20;;;00.00.0000;;;97.729,69;BRL;79.668,97-;BRL;18.060,72;BRL
1001;2300;230000001340;0;VASILHAMES P20 PIT STOP;001-132211-151474-0;0000000000;;VASILHAMES P20 PIT STOP;02.08.2009;21,000;UN;UN;0,000;UN;;;1021228;1021;Adm Central MD;1100;BOTIJÃO P20 - KIT PIT STOP;;;00.00.0000;;;10.723,48;BRL;9.195,05-;BRL;1.528,43;BRL
1001;2300;230000001341;0;VASILHAMES P20 PIT STOP;001-132211-151562-0;0000000000;;VASILHAMES P20 PIT STOP;06.04.2010;30,000;UN;UN;0,000;UN;;;1021228;1021;Adm Central MD;1100;BOTIJÃO P20 - KIT PIT STOP;;;00.00.0000;;;15.693,43;BRL;12.656,92-;BRL;3.036,51;BRL
1001;2300;230000001343;0;VASILHAMES P20;001-132211-152044-0;0000000000;;VASILHAMES P20;16.11.2009;235,000;UN;UN;0,000;UN;;;1021130;1021;Adm Central MD;1020;BOTIJÃO P20;;;00.00.0000;;;90.278,08;BRL;74.950,92-;BRL;15.327,16;BRL
