---------------------------
|Estatíst.dados    |Número|
|-------------------------|
|Registros transfs.| 3.403|
---------------------------
01.08.2022                                                                                                                                                                                                                            Relatório de ativo imobilizado                                                                                                                                                                                                                               2
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Relatório de ativo imobilizado
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|Empr|Classe|Imobilizado |Sbnº|Denominação do imobilizado              |Denominação do imobilizado                   |Recebedor de Mercadorias|Local de instalação|Texto nºprinc.imob.                     |Dt.incorp.| Quantidade|UMB|UMB|Quantidade Retroativa|UMB|Nº inventário|Nº série/Chassi|Centro cst|Cen.|Centro        |Espécie|Espécie                   |Ordem de investimento|Elemento PEP|Dta.desat.|Imob.origem |SubnºIeA|Depreciação atual|Valor aquisição atual|Valor contábil atual|
|1001|2300  |230000000615|0   |VASILHAMES P20 PIT STOP                 |001-132211-124310-0                          |              0000000000|                   |VASILHAMES P20 PIT STOP                 |28.09.2007|   100,000 |UN |UN |               0,000 |UN |             |               |1021228   |1021|Adm Central MD|1100   |BOTIJÃO P20 - KIT PIT STOP|                     |            |00.00.0000|            |        |       64.703,19-|           65.100,94 |             397,75 |
|1001|2300  |230000000636|0   |VASILHAMES P20 PIT STOP                 |001-132211-124795-0                          |              0000000000|                   |VASILHAMES P20 PIT STOP                 |24.08.2007|    60,000 |UN |UN |               0,000 |UN |             |               |1021228   |1021|Adm Central MD|1100   |BOTIJÃO P20 - KIT PIT STOP|                     |            |00.00.0000|            |        |       28.942,09-|           38.531,68 |           9.589,59 |
|1001|2300  |230000000725|0   |VASILHAMES P20                          |001-132211-127098-0                          |              0000000000|                   |VASILHAMES P20                          |30.10.2007|    60,000 |UN |UN |               0,000 |UN |             |               |1021130   |1021|Adm Central MD|1020   |BOTIJÃO P20               |                     |            |00.00.0000|            |        |        7.751,77-|            7.800,00 |              48,23 |
|1001|2300  |230000000737|0   |VASILHAMES P20 PIT STOP                 |001-132211-127452-0                          |              0000000000|                   |VASILHAMES P20 PIT STOP                 |31.10.2008|     6,000 |UN |UN |               0,000 |UN |             |               |1021228   |1021|Adm Central MD|1100   |BOTIJÃO P20 - KIT PIT STOP|                     |            |00.00.0000|            |        |        2.547,63-|            4.084,99 |           1.537,36 |
|1001|2300  |230000000739|0   |VASILHAMES P20                          |001-132211-127488-0                          |              0000000000|                   |VASILHAMES P20                          |21.05.2010|   134,000 |UN |UN |               0,000 |UN |             |               |1021130   |1021|Adm Central MD|1020   |BOTIJÃO P20               |                     |            |00.00.0000|            |        |       37.459,93-|           46.588,87 |           9.128,94 |
|1001|2300  |230000000792|0   |VASILHAMES P20 PIT STOP                 |001-132211-128041-0                          |              0000000000|                   |VASILHAMES P20 PIT STOP                 |22.11.2007|    30,000 |UN |UN |               0,000 |UN |             |               |1021228   |1021|Adm Central MD|1100   |BOTIJÃO P20 - KIT PIT STOP|                     |            |00.00.0000|            |        |       19.289,70-|           19.530,28 |             240,58 |
|1001|2300  |230000000795|0   |VASILHAMES P20                          |001-132211-128255-0                          |              0000000000|                   |VASILHAMES P20                          |04.01.2008|    17,000 |UN |UN |               0,000 |UN |             |               |1021130   |1021|Adm Central MD|1020   |BOTIJÃO P20               |                     |            |00.00.0000|            |        |        6.797,53-|            6.925,95 |             128,42 |
|1001|2300  |230000000811|0   |VASILHAMES P20 PIT STOP                 |001-132211-128688-0                          |              0000000000|                   |VASILHAMES P20 PIT STOP                 |13.11.2007|    60,000 |UN |UN |               0,000 |UN |             |               |1021228   |1021|Adm Central MD|1100   |BOTIJÃO P20 - KIT PIT STOP|                     |            |00.00.0000|            |        |       27.558,57-|           38.532,00 |          10.973,43 |
|1001|2300  |230000000812|0   |VASILHAMES P20 PIT STOP                 |001-132211-129010-0                          |              0000000000|                   |VASILHAMES P20 PIT STOP                 |04.11.2007|    20,000 |UN |UN |               0,000 |UN |             |               |1021228   |1021|Adm Central MD|1100   |BOTIJÃO P20 - KIT PIT STOP|                     |            |00.00.0000|            |        |        9.470,38-|           13.158,00 |           3.687,62 |
|1001|2300  |230000000840|0   |VASILHAMES P20                          |001-132211-129889-0                          |              0000000000|                   |VASILHAMES P20                          |20.12.2007|   170,000 |UN |UN |               0,000 |UN |             |               |1021130   |1021|Adm Central MD|1020   |BOTIJÃO P20               |                     |            |00.00.0000|            |        |       71.321,83-|           72.661,65 |           1.339,82 |
|1001|2300  |230000000843|0   |VASILHAMES P20                          |001-132211-130192-0                          |              0000000000|                   |VASILHAMES P20                          |30.12.2009|    43,000 |UN |UN |               0,000 |UN |             |               |1021130   |1021|Adm Central MD|1020   |BOTIJÃO P20               |                     |            |00.00.0000|            |        |        9.147,85-|           10.927,03 |           1.779,18 |
|1001|2300  |230000000856|0   |VASILHAMES P20                          |001-132211-130902-0                          |              0000000000|                   |VASILHAMES P20                          |29.01.2008|   100,000 |UN |UN |               0,000 |UN |             |               |1021130   |1021|Adm Central MD|1020   |BOTIJÃO P20               |                     |            |00.00.0000|            |        |       69.793,23-|           71.415,30 |           1.622,07 |
|1001|2300  |230000000885|0   |VASILHAMES P8                           |001-132211-131096-0                          |              0000000000|                   |VASILHAMES P8                           |18.01.2008|     5,000 |UN |UN |               0,000 |UN |             |               |1021130   |1021|Adm Central MD|1008   |BOTIJÃO P08               |                     |            |00.00.0000|            |        |          297,34-|              304,81 |               7,47 |
|1001|2300  |230000000960|0   |VASILHAMES P20                          |001-132211-132095-0                          |              0000000000|                   |VASILHAMES P20                          |14.05.2008|    20,000 |UN |UN |               0,000 |UN |             |               |1021130   |1021|Adm Central MD|1020   |BOTIJÃO P20               |                     |            |00.00.0000|            |        |        3.215,52-|            3.400,00 |             184,48 |
|1001|2300  |230000001046|0   |VASILHAMES P20                          |001-132211-137364-0                          |              0000000000|                   |VASILHAMES P20                          |09.07.2008|    41,000 |UN |UN |               0,000 |UN |             |               |1021130   |1021|Adm Central MD|1020   |BOTIJÃO P20               |                     |            |00.00.0000|            |        |       24.352,47-|           26.075,78 |           1.723,31 |
|1001|2300  |230000001092|0   |VASILHAMES P20                          |001-132211-140869-1                          |              0000000000|                   |VASILHAMES P20                          |31.12.2007|    18,000 |UN |UN |               0,000 |UN |             |               |1021130   |1021|Adm Central MD|1020   |BOTIJÃO P20               |                     |            |00.00.0000|            |        |        8.868,11-|            9.623,86 |             755,75 |
|1001|2300  |230000001096|0   |VASILHAMES P20                          |001-132211-141603-1                          |              0000000000|                   |VASILHAMES P20                          |29.09.2008|     7,000 |UN |UN |               0,000 |UN |             |               |1021130   |1021|Adm Central MD|1020   |BOTIJÃO P20               |                     |            |00.00.0000|            |        |          696,90-|            1.476,75 |             779,85 |
