Codigo_do_Cliente_SAP__c
0000959541
0001200143
0001969557
0003551952
0003553040
0003560515
0003562925
0003651460
0003687100
0003712378
0003712541
0003735606
0003799063
0003824752
0003857276
0003859322
0003874479
0003875105
0003881912
